Input_pid,Output_eng
oboi that chika kpuvie sweet no be small,That soup Chika cooked is very delicious.
"Guy, I wan go lemb, my belle dey empty.","Guy, I want to go eat, my stomach is empty."
I wan chop kpomo today o!,I want to eat cow skin today!
"The thing kuja me, man! (The thing frightened me, man!)I kujad ( I jumped or was startled)","The thing frightened me, man!"
na your long throat go kill you one day.,Your greed will kill you one day.
I dey go las gidis,I am going to Lagos.
"ma le, how far na?TRANSLATIONHi, mum","Hi, how are you doing?"
Bros we dance kukere tire for the party sha.,"Bro, we really danced the kukere non-stop at the party."
"If kpor-kpor make way in here eehn, na blaster-scatter","If a gunshot makes its way in here, it's going to be total chaos."
You go chop the beans with efo “kosi werey egbon”,"You will eat the beans with vegetables, ""there's no madness, elder brother."""
Soja gbab one guy for nite wey dey lamushuan im babe for dis camp.,A soldier caught a guy at night who was secretly seeing his girlfriend in this camp.
na who chop my rice? ma pin.,Who ate my rice?
"Me,, I no dey follow boy wey Lepa",I don't associate with skinny guys.
Cj say make I give am my babe. Life!,Cj said I should give him my girlfriend.
I don ready na make we leggo na.,"I'm ready, let's go now."
"see that lekpa for there, na you dey with this orobo","Look at that slim person over there, it's you who is with this fat person."
If you wan do local abeg try front.,"If you want to act local, please do it openly."
Fred no do well oh. All of in papers na let my people go result.,Fred performed poorly. All of his papers had failing results.
Na luba i dey find,I'm looking for love.
Commot for road if not I go mach you,Get out of the way or I will hit you.
"3. Our president bin dey fuck up, na so souljas jus com kolobi him government o.","Our president was messing up, that's how soldiers just came and took over his government."
Dem dey pay me serious kudi for my office,I earn a lot of money at my office.
U wan make i land you slap? Means do u want me to slap you?. Shey u don land for Yankee? Means have u arrived in America?,Do you want me to slap you? Have you arrived in America?
Everybody wey dey go that club na lockito me I no go follow,"Everybody going to that club is a thief, I won't follow."
Dat phone na Machin,That phone is a machine.
"I buy to crate of mineral, like play like play janet just shack everything","I bought two crates of soda, and just like that, Janet drank everything."
"Man i repect this you legedis benz oh, the thing fit carry you from Asaba to Lagos.","I really respect this your Mercedes Benz, it can take you from Asaba to Lagos."
Dat mechanic just dey do mago mago,That mechanic is being dishonest.
I Can't go back there tonight O!! Lailai!!,I can't go back there tonight at all!!
"No open am before me now, since i bought it I suppose launch am first.","Don't open it before me now, since I bought it I should be the first to launch it."
I love him reading to me on bed,I love it when he reads to me in bed.
"Ur behavior dey mal,",Your behavior is bad.
"Bomboi! No play with dat dirty dog, e go give you kro-kro.If you no baff you go catch kro-kro","Be careful! Don't play with that dirty dog, it will give you scabies. If you don't bathe, you will catch scabies."
I love malo boys,I love bad boys.
"lekpa shandy, u no get chop. come make a feed u","Skinny Shandy, you don't have food. Come let me feed you."
Why chu too dey make mouth?,Why do you brag so much?
I dey come ma do finish first,I will come after I finish this first.
Biola na longa throat,Biola is greedy
Remain small and my maga go pay,Just a little more and my victim will pay.
See make u na beg am make e lock up,Please beg him to keep quiet.
Some schools no get locker for classroom.  Lock your locker before dem tiff your book.,Some schools do not have lockers in the classroom. Lock your locker before they steal your book.
Dem flog am e dey maara. - They flogged him and he was running and dancing because of the whipping.,They flogged him and he was running and dancing because of the whipping.
omo dis show we dey watch go kill me oo..lwkmd!,This show we're watching is going to kill me from laughter!
e be like say you suppose add one more maggi,It seems like you should add one more seasoning cube.
"Ol boy, you want scale that 10m fence? You have liver oh!","Dude, do you want to climb that 10m fence? You're really brave!"
how your marle?,How are you?
Make I see you for hia again! You go chop pepper! (Let me see you here again. You will taste pepper.),Let me see you here again. You will taste pepper.
Maga no need pay to buy correct car,The fool doesn't need to pay to buy a good car.
"My guy! You dey lash babe?Yhh, but she dey carry pancake n'yash","My friend! Are you flirting with a girl? Yes, but she has a fake buttock."
you put me on a long thing,You've made things difficult for me.
Shey na mammy water dey worry you?,Are you being troubled by a mermaid?
as you dey submit your own kukuma submit my own o,"As you submit yours, also submit mine."
my guy na so you maga since you lose your job,"My guy, you've been acting foolish since you lost your job."
which day we become mate?,When did we become friends?
You won mek cake?,Do you want to make cake?
na who mess here?,Who farted here?
"i dey make eye for u, u no code.","I'm flirting with you, you don't understand."
I don meow comot here,I have left this place.
I don see dat malan yesterday near yah domot,I saw that Muslim cleric yesterday near your house entrance.
"Abeg, u get lette for house?Ol boy, i wan go lette for Ddbanj house.","Please, do you have a letter at home? Dude, I want to go deliver a letter at D'banj's house."
U na my manchi,You are my hero.
comot der make i hear word,Get out of there so I can have some peace.
"if u no care,i go maari you for dis wahala you wan put me in","If you don't care, I will involve you in this trouble you want to put me in."
"How I go was plate for Femi, we no dey for the same levels","How can I wash dishes for Femi, we are not on the same level."
"If I maja you ehn!The guy maja me, no be small.","If I beat you! The guy beat me, not a little."
I go use medi for am o.,I will use medicine on it.
"Oh boy, the first time I enter lift I just dey fear as the thing dey carry me go.","Oh boy, the first time I entered an elevator, I was just scared as it was taking me up."
Am tod dey proffesor dat he no gat sense!! Lolz,I told the professor that he has no sense!!
"Oya, make me go! maza maza!","Let's go now, quickly!"
maggi no taste 4 dat food at all,There is no taste of Maggi in that food at all.
"I give Kola beer, so tey e start to dey manya",I gave Kola beer until he started to get drunk.
"na kurukere business this guy dey do, that babe just dey waka kurukere for here anyhow","This guy is involved in shady business, that girl just roams around here aimlessly."
Dis na because dem no need to put am for fridge onto say e dry and e get protein and vitamins wey dey fight against kwashiorkor - di major sickness wey bin dey affect people during di war.,This is because they do not need to refrigerate it since it is dry and contains proteins and vitamins that fight against kwashiorkor - the major disease that was affecting people during the war.
The guy drink so te him enter Matrix,The guy drank so much that he entered the Matrix.
Kai yinka your food sweet like that mamput food wey i like,Your food is as delicious as that mamput food I like.
Wen I ask dat girl to dance she lakpa me,"When I asked that girl to dance, she ignored me."
"omo men,manchester they catch me seriously","Guy, Manchester is seriously impressing me."
My megaurd always dey sleep when person dey for gate,My security guard is always asleep when someone is at the gate.
See that girl Mary Amaka skirt.,Look at that girl Mary Amaka's skirt.
(Moi) lovely friend,My lovely friend
You get fine motor bike oh,You have a nice motorcycle.
This kenny dey vex me...O boy Tony mellow,This Kenny is annoying me...Hey boy Tony calm down
Dat ride(car) make sense,That car is great.
Your child be Mami Wata O!!!,Your child is a mermaid!!!
"My guy arrange yasef, why you jus dey maskaform anyhow?","My guy, get yourself together, why are you just misbehaving anyhow?"
Make u na see mama daniel and e pikin dey don come with dey wahala for my don mot.,You all should see Mama Daniel and her child have come with their trouble to my house.
This maye don tear eye. E no wan pay again.,This person has become wise. He doesn't want to pay anymore.
"Mallam, how far?","Mister, what's up?"
"o'boy, why you dey misyarn like this?","Dude, why are you talking nonsense like this?"
"Oya, come make we go","Come on, let's go."
Jibe abeg go buy me mineral,Please go buy me a soft drink.
this moi moi sweet oh!,This moi moi is delicious!
how your malle?,How is your brother?
A: No be your ex be that,Isn't that your ex?
"D guy jus dey kpro for d mata.D babe don kpro for me finish.Abeg kpro,u too dey show urself.","The guy is just showing off about the matter. The girl has completely shown off for me. Please show off, you're too full of yourself."
Baba God no go allow man pinki to suffer'ooo.,God will not allow one to suffer.
dat ugly moze,that ugly mouse
You get long leg means you are well connected,You are well connected.
"Abeg mozz,u too dey dull.","Please, you are too boring."
He be mental.,He is crazy.
"When i see mopo, i just maintain","When I see the police, I just stay calm."
I like to play football with monkey post,I like to play football with small goalposts.
B: Mtchew! Leave tha Ashawo!,Hmph! Leave that prostitute!
1.omo diz your new MEMMETH(girl) make sense o...,This new girl of yours is really impressive.
"Di way some people take hold bar ehn, you go reason say all man suppose hold like that but no be so. Life no balance at all, at all.","The way some people handle things, you would think everyone should do the same, but that's not the case. Life is not balanced at all."
The guy don mara.meaning the guy don mad.,The guy has gone crazy.
I went to the brew last 9t nd i was so moed,I went to the bar last night and I was so drunk.
I wan go match banga,I want to go shoot fireworks.
(A: Is that not your ex?,Is that not your ex?
-Dis one na gobe! (This is trouble!),This is trouble!
Dat hausa man get plenti malu,That Hausa man has plenty of cows.
Pinto just de act like mumu,Pinto is just acting foolish.
i mammar the pikin till e remember to count to ten,I breastfed the child until he remembered how to count to ten.
Jennifer is my new Musu!,Jennifer is my new friend!
wetin that mumuni dey do dere,What is that fool doing there?
I chop plenti mede mede for that party oh,I ate a lot of different kinds of food at that party.
"Why them just dey take light, as if they no want us to watch tv.","Why do they keep turning off the electricity, as if they don't want us to watch TV?"
"Mtcheew... poor man, I even think say you carry money come.","Hmph... poor man, I even thought you brought money."
"ok o, make una dey there make mopo come catch you, them go deal with una","Okay, stay there until the police come to arrest you; they will deal with you."
"omo, this your legxus no dey tire?","Guy, doesn't your Lexus ever get tired?"
B: Mtchew! Na u dey give me chop?,Hmph! Are you the one feeding me?
Padi give me the medi make man drink joor.,"Buddy, give me the medicine so I can drink it, please."
which one be your mumsi,Which one is your mom?
I want go eat for mama put means i am going to eat at a local restaurant,I am going to eat at a local restaurant.
Tomorrow na socials dem I go wear my best mofty,"Tomorrow is socials, I will wear my best casual outfit."
o boy i don find maga wey i for mugu,"Oh boy, I have found a fool that I can deceive."
once Ngozi talk everybody go just know say she be mgbeke,"Once Ngozi speaks, everyone will just know that she is a local girl."
Come and see (moi) mother,Come and see my mother.
Na moto dat guy spend e life savings go buy,That guy spent his life savings to buy a car.
i just dey my own kampe why u won use ur makossa spoil my blues?,"I'm just minding my own business, why do you want to ruin my mood with your disturbance?"
"Trisha, I just catch one maye. The boy na heavy payee.","Trisha, I just caught a guy. The boy is a big spender."
Mara mma no you tired this shabby MOLUE,You look beautiful even though you're tired from this shabby bus.
Maga don pay me ooo!,The fool has paid me!
wen i see the guy before i reach where he dey the guy mia,"When I saw the guy before I got to where he was, the guy disappeared."
"1.Since I travel, I don miss my mumsy cooking taya.","Since I traveled, I have really missed my mom's cooking."
ABI NA BE SO? NA SO!,"IS THAT HOW IT IS? YES, IT IS!"
"Mehn, the mullah don drop","Man, the money has arrived."
B: Mtchew! Let me with that whore),Hiss! Leave me alone with that whore.
"omo, this girl na legbere o, how she go buy this shoe foh 5k","Wow, this girl is very lucky, how did she buy these shoes for 5k?"
A: Young lady can't you greet?,"Young lady, can't you greet?"
u say i go chop. u say whtin dey for chop.,You said I will eat. You said what is there to eat.
Na the ball be that? Na it,Is that the ball?
My fada just buy new machine,My father just bought a new car.
he is a tiv boy from benue state,He is a Tiv boy from Benue State.
I dey go naija this summer,I am going to Nigeria this summer.
I love my momsi,I love my mom.
"i no get water for house, abeg if you see meruwa call am for me","I don't have water at home, please if you see a water vendor, call him for me."
all this yarns na yam. how come you still dey here?,All these stories are nonsense. How come you are still here?
this boy na mungu,This boy is smart.
Si my ninja bike,From my ninja bike
"Oh boy, I sweep the compound because my aunty say she will give me 500 naira but she give me leg over. I no see any cash.","Oh boy, I swept the compound because my aunty said she would give me 500 naira, but she tricked me. I didn't see any cash."
if i lose my job na die i dey,"If I lose my job, I'm doomed."
no bi true?,Isn't it true?
Simi! Na wetin.,Simi! What is it?
3. See how this coatie hold mullah like say he wan beat person.,Look at how this coat is tightly fitted as if it wants to beat someone.
"Tunde: this is how we do thingsAmaka: mmm, ndi yoruba","Amaka: mmm, Yoruba people"
abeg do it naw.,Please do it now.
Him barb moro moro when him aunty die.,He shaved his head completely when his aunt died.
"You saw your friend washing cloth. you ask him Nigeria Question,  Are you washing cloth? He reply to you Nigeria Answer ""NO am dancing""","No, I'm dancing."
Another blackout? Na wa!,Another blackout? This is unbelievable!
I no comot o. Mumsy just dey dull me since this curfew matter start,I didn't leave. Mom has just been boring me since this curfew issue started.
I see joseph mullah for bathroom. E be like small pickin leg.,I saw Joseph Mullah in the bathroom. He looks like a small child's leg.
na you sabi,It's up to you.
"Omo! I lem tight for Rachael party. (verb usage)As alarm wan kill me, I gas waka find lem so.","Wow! I was really high at Rachael's party. As the alarm was about to kill me, I had to walk around looking for drugs."
You be newscaster,You are a newscaster.
"kai no touch me, because I taste your coke na fight.","Don't touch me, because if I taste your coke, it's going to be a fight."
"allow the girl, she be loki thats why she just dey wear leggins","Let the girl be; she's mischievous, that's why she always wears leggings."
"See dis boy ride, na you o","Look at this boy riding, it's you indeed."
I no sure say your boyfriend go marry you,I'm not sure that your boyfriend will marry you.
Mr. B- guy 'no be so',"Mr. B said ""that's not right""."
Apc- next level,APC - next level
the car fine sha but i no trust this your new money miss road bobo; him go mutallab una for road oh!,"The car is nice though, but I don't trust this your new flashy guy; he will abandon you all on the road!"
I'm nonilizin,I'm relaxing.
"See dis mugu, the guy think say he fit run faster than my motocycle","Look at this fool, the guy thinks he can run faster than my motorcycle."
"Keep im away from ere, e is a nig!","Keep him away from here, he is a thief!"
"Nawa for you oh, see as you just finish the suya by yourself","You're something else, oh, look at how you just finished the suya by yourself."
Kemi off the tv nepa don take light,"Kemi, turn off the TV; the power company has cut off the electricity."
Oga john na you biko means mr john you are the man,"Mr. John, you are the man."
"Shey you don chop my rice finish, no nwa now.","Have you finished eating my rice, don't lie now."
I nor go forget naija,I will not forget Nigeria.
"Chairman mi, no lele carry go jo!","Chairman, no problem, carry on!"
"Abeg, which kind maclean you dey use?","Please, what kind of toothpaste do you use?"
(Mtchew! Are the one feeding me?),(Hiss! Are you the one feeding me?)
Naso! i fuck am,That's it! I beat him.
Had ten,I do not have the original sentence in Igbo or Nigerian Pidgin to translate. Could you please provide the sentence you need translated?
Ngbeke feeling funky,Ngbeke is feeling funky.
Don't dull yourself na me sabi am pass. Means don't receive yourself I am best at this.,Don't underestimate yourself; I am the best at this.
The way feyi dey chop rice e remain small nada go remain,"Feyi is eating the rice in such a way that soon, nothing will be left."
Na today boys dey sayo dey vomit for road?,Is it today that boys started getting drunk and vomiting on the road?
"u buy isiah food, me nko means u bought food for isiah how bout me","You bought food for Isaiah, how about me?"
To climb mount Everest no be small thing o,Climbing Mount Everest is no small feat.
john: i'll be coming back tomorrow,John: I'll be coming back tomorrow.
U see that guy way get money see as woman they rush him.,"You see that guy who has money, see how women are rushing him."
I day go NSK today.,I am going to NSK today.
"james: okay, no wahala na","James: Okay, no problem."
"Nothing do me, I fit run 5km","I'm fine, I can run 5km."
Mr. A- bros u just forget ur guy?,"Mr. A, did you just forget about your friend?"
That Benz na my fada moto,That Benz is my father's car.
Dat guy dy do like odoyo,That guy is acting like a fool.
"This sickness wey leave me, na God do am","This sickness that left me, it was God who did it."
Guy i norlute vicky tewe(virginal) yesterday!,"Guy, I didn't see Vicky yesterday!"
I dey move about Ikeja in molue. No dey laugh at homeboys.,I am moving around Ikeja in a molue. Don't laugh at the local guys.
Man all those new Nollywood movies hot oh,"Man, all those new Nollywood movies are hot, oh."
"Samuel be mugu, na the reason he still dey SS2, when im mates don knack uni.",Samuel is a fool; that's why he is still in SS2 when his peers have already entered university.
"If you wan live for Lagos, no dull yoursef","If you want to live in Lagos, don't be slow."
everything wey govlment don do na jagbajantis,Everything the government has done is nonsense.
/oga ade/give me my money,Give me my money.
ogbeni come here,"Mister, come here."
"James, wey my money? no long tin.","James, where is my money? It's not a big deal."
Chidi: Tunde were you able to get that girl's phone number. Tunde: Na beanz?,"Chidi: Tunde, were you able to get that girl's phone number? Tunde: Is it beans?"
See dis babe wey dey come. I know say u don nyash am...,Look at this girl coming. I know you've slept with her...
I been nak that ikebe tire,I was hitting that booty tirelessly.
E be oibo man.,He is a white man.
"Na Taiwan I buy, my money no reach for original.","I bought it in Taiwan, my money wasn't enough for the original."
Sarah always like to tief my nylon,Sarah always likes to steal my nylon.
Bisola like to dey make nyanga,Bisola likes to show off.
I no fit climb dat okada,I can't ride that motorcycle.
"G1: Ol' boy, how fa?G2: Omo, nothin de pa","Guy, how are you? Dude, nothing much is happening."
"If Obasanjo bash my car natin spoil, e get money e go buy me new one.","If Obasanjo crashes into my car and nothing is damaged, he has money and will buy me a new one."
"Nna, my wife don kill me, she born triplets","Dad, my wife has finished me, she gave birth to triplets."
You be real okpe!,You are a real fool!
Mad oo see this girl in her mind she don rich pass me.,"Wow, look at this girl; she thinks she's richer than me."
Your okoman don enter house?TRANSLATIONIs your dad back at home?,Is your dad back at home?
To much ogogoro dey make person kolo.,Too much palm wine makes a person go crazy.
Miu Miu bagMarc Jacobs bagLoewe bagJimmy Choo bagHermes bagdiscount HermesLoewecheap Chanel bagchloe bag salebuy Tods,Buy Tods
"John nack peter for ground when dem dey fight means john slammed peter to the ground during their fight.My guy, i don finally nack mary ooo means my friend!, i've finally made love to mary","John slammed Peter to the ground during their fight. My friend, I've finally made love to Mary."
mama why you give me soup with no obstacle.,"Mom, why did you give me soup without any solid ingredients?"
"- Na you wey wan come start wahala for my domot yesterday abi? (So, you're the one who wanted to start trouble in my area yesterday right?)","So, you're the one who wanted to start trouble in my area yesterday, right?"
Oh boy I don enter yawa means I've gotten into trouble man,"I've gotten into trouble, man."
"Oh men, she cook that egusi with ogbongeh fish.","Oh man, she cooked that egusi with catfish."
I always fly first class. Na wash.,I always fly first class. It's a lie.
Nawa oo! Chioma! Why you thief the money now?!,Wow! Chioma! Why did you steal the money now?!
All dis olosho sef no go taya..chai,All these prostitutes won't get tired..wow.
Omoge!!! How You Dey?,Girl!!! How are you?
I dey go visit my best friend next tomorrow for Lagos,I am going to visit my best friend the day after tomorrow in Lagos.
Oboi  you just dey smoke oja as you like.,"Man, you just smoke weed as you like."
Nepotizm is when powerfull pipo do feva dea relatives en frens job oppotunities,Nepotism is when powerful people favor their relatives and friends with job opportunities.
You need my car? No shaking I go organise you.,"Do you need my car? Don't worry, I will arrange it for you."
Anini na real omila before he kpoof.,Anini was a real criminal before he disappeared.
Omor He don blow like play like play,He has suddenly become successful unexpectedly.
"Dis girl any time you want something you go come dey shake nyash, abegi!See your nyash","This girl, anytime you want something, you come shaking your buttocks, please! Look at your buttocks."
See that fine omomo.,Look at that beautiful girl.
"I thank God for me, Noni!","I thank God for myself, Noni!"
"Madam, give me one ojongo and hundred naira kanda!.","Madam, give me one ojongo and one hundred naira worth of kanda!"
"Omo, you don chop that chick?","Guy, have you slept with that girl?"
God dey,God exists
You ode don't you know anything sef?,"You're so dumb, don't you know anything at all?"
"olokpa dey come, make we comot for here","The police are coming, let's leave this place."
"abeg, buy me any beta omo wey u see","Please, buy me any good detergent you see."
Davido: I'm an original O.B.O,Davido: I'm an original O.B.O
"U see dat okoroman, wey get red cap for head?",Do you see that elderly man wearing a red cap on his head?
1.omoh that girl set,"Wow, that girl is beautiful."
John tell me say him neighbour na bad okpo,John told me that his neighbor is a bad person.
oloomi oni te mi,The water is too hot for me.
"No mind dat Oduimitete,under 13 no dey pass his corner.","Don't pay attention to that Oduimitete, no one under 13 goes past his corner."
Checkout dat fine Oshere,Check out that beautiful girl.
I don dey laugh tire. OBJ daughter lose this election.,I've been laughing so hard. OBJ's daughter lost this election.
Why you dey yarn opata,Why are you talking nonsense?
London means Vagina.,London means Vagina.
Oga conductor ebe like say fuel don finish for your taxi o,"Boss, it seems like your taxi has run out of fuel."
"That guy dey lie eh, im na olairewaju","That guy is lying, he is a chronic liar."
Ota mi no go prosper! (My enemies will not prosper),My enemies will not prosper!
Isoko word for black magic,The Isoko word for black magic
Jide hide that knockout one officer dey come,"Jide hide the knockout, an officer is coming."
"Madam, you no get Ogbene?, dem don tiff my Ogbene ooo.","Madam, do you not have a lighter? They have stolen my lighter."
I want go nosh 4 backyard,I want to go eat in the backyard.
Oya na let's go there!,Let's go there!
"He jst finish NYSC, now is suffering continues","He just finished NYSC, now his suffering continues."
"omo i dey go, no fight o, we go see leta.","I'm leaving, no fighting, we'll see later."
sam no fit stay for sun for long ein be opulopulo,"Sam can't stay in the sun for too long, he is albino."
"This one na orijo, no be panda","This one is original, not fake."
"if you dont sleep now, ojuju will catch you","If you don't sleep now, the bogeyman will catch you."
D man was charge for inter d otepu London. i.e The man was charge for rape the girl.,The man was charged for raping the girl.
Your oshelengen too much,Your showing off is too much.
Hmmm ...dat boy na obo le wu o! E no de take eye woman pant!,Hmm ...that boy is very promiscuous! He doesn't joke with women's underwear!
"That Memunate girl dey chop too much, the other day she downed like half a crate of minerals in  one day chai!","That Memunate girl eats too much; the other day, she drank like half a crate of soft drinks in one day, wow!"
Why u wear cap like otondo?,Why are you wearing a cap like a novice?
2.omoh show face,The guy showed up.
My oga talk say make i take am to airport,My boss said I should take him to the airport.
"Oi, you a niga","Hey, you are a black person."
na so so orkrika mary dey wear means mary wears fairly used clothes all the time,Mary wears fairly used clothes all the time.
"If you see obioma, help me call am. My trouser don tear for yansh.","If you see Obioma, please call him for me. My trousers have torn at the back."
"dat boi na olodo, e no sabi write e papa name sef","That boy is a dullard, he doesn't even know how to write his father's name."
Onye oshi! Onye oshi! Catch am! (Thief! Thief! catch am/stop him or her),Thief! Thief! Catch him/her!
That girl na Ogbange.,That girl is a mermaid.
"see this old mama youngie, im body don wrinkle","Look at this old woman pretending to be young, her body has wrinkled."
Ojugo! u still dey blind with this your four eyes? Abi you want make i add two more for you? Idiot!!,Are you still blind with your glasses? Or do you want me to add two more for you? Idiot!!
Dem dom do otumokpo for Biodun,They have cast a spell on Biodun.
mummy oyoyo... mummy you are welcome,"Mummy, you are welcome."
see dis overzee wan go yankee sha,"Look at this person wanting to go abroad, especially to America."
"This place na obodo matress, you no need to bring anything come.",This place is fully furnished; you don't need to bring anything.
The girl too dey do oversabi,The girl is acting like a know-it-all.
"Noun: IBB is a kaita, so is Ota boy.Verb: Don't kaita what we have been building for 11 yrs in one day.""I like that girl, please don't be a Kaita"" Or In a Foolish Person's Thought: We are winning 1 - 0, let me kaita this game, so that I can get a red card and my opponent can win.","Noun: IBB is a spoiler, so is Ota boy. Verb: Don't spoil what we have been building for 11 years in one day. ""I like that girl, please don't be a spoiler"" Or In a Foolish Person's Thought: We are winning 1 - 0, let me spoil this game, so that I can get a red card and my opponent can win."
"If u see the ofor wey dey Nengi hand ehn, u go bow.","If you see the authority symbol in Nengi's hand, you will bow."
Babe I want to oxlade you,"Babe, I want to love you."
see that oyinbo for there,Look at that foreigner over there.
DAT boy get krokro for leg,That boy has eczema on his leg.
oloomi come here I have something for you,"Come here, I have something for you."
Omo nna! Dem fit sell you for here! How you no go sabi yoruba?,My friend! They can sell you here! How come you don't understand Yoruba?
"na wow for dis madam ooo, her over sabi too much","Wow, this lady is something else; she knows too much."
"My guy, as I wake up this morning, na so i just dey feel one kyne","My guy, when I woke up this morning, I just started feeling some type of way."
"orobo, abeg move your yansh make i pass","Fat person, please move your buttocks so I can pass."
The oye for this car na die,The fuel consumption for this car is terrible.
"Guy, remember that our deal wey we do bifor bifor? Obago o!","Guy, remember that deal we did a long time ago? It has happened!"
Wetin be your palava? ehn,What is your problem?
You saw me washing cloth! You ask me 'are you washing clot'?. I wil now give you nagetive answer,You saw me washing clothes! You ask me 'are you washing clothes?'.
"Biodun na oloshi, anywhere e enter, somthin dey always miss.","Biodun is a thief; wherever he goes, something always goes missing."
"Na wa o,see as boko haram just dey kill people anyhow","It's shocking, see how Boko Haram is just killing people indiscriminately."
Oboy I dey para palikelecolu,"Guy, I'm very angry."
Na mama fati go do ofofo say zainab done carry belle,It was Mama Fati who gossiped that Zainab is pregnant.
"In English;You are in a deep trouble, This is a serious problem",You are in deep trouble.
oya make we start to work means lets get to work,Let's get to work.
Why you dey do like oyinbo pepper sef?,Why are you acting like a white person anyway?
"Hey,no wan para me o","Hey, don't get me angry."
George Bush has been mescagizing for the past 8 years.,"I'm sorry, but ""mescagizing"" does not appear to be a recognized word in English, Igbo, Nigerian Pidgin, or any other language. It's possible there might be a typo or misunderstanding in the word you're asking about. Could you please provide more context or check the spelling?"
my guy palle don pemee.,My friend has fainted.
Guy you don enter serious palaver,"Guy, you have entered serious trouble."
Ugonna your Father don come back from work o.,"Ugonna, your father has come back from work."
palle wan make you go fine Jide,Go and find Jide.
Ibrahim abeg bring that packer here make I sweep the palour,"Ibrahim, please bring that dustpan here so I can sweep the living room."
Oya oya we need to go,"Hurry, hurry, we need to go."
who be the pesin? who is that person?,Who is that person?
na my paddy be that means thats my friend,That's my friend.
I dey go parti this saturday,I am going to a party this Saturday.
I will be going to lag ontop of the 22nd of July.,I will be going to Lagos on the 22nd of July.
guy that ur song dy for ozenge benge level.,"Dude, your song is on another level."
Na who carry dis one come? Abeg no de yarn okpata for dis place.,"Who brought this one here? Please, don't spout nonsense in this place."
Which parade u dey,Which group do you belong to?
"omo, time don reach make up parol","Guy, it's time to plan."
how your parle?,How are you?
this one na my personal personTRANSLATIONThis is my best friend,This is my best friend.
Abeg why you dey parole up and down this street,"Please, why are you walking up and down this street?"
See ole oh!,Look at the thief oh!
I dey go greet papa,I am going to greet dad.
"My Pale and Male no dey house O!,dem  go see doctor",My father and brother are not at home! They went to see a doctor.
"abeg stop 2 d scribble paw,go len pidgin","Please stop the scribble, learn Pidgin."
This girl na peperempe!,This girl is very flashy!
shey mama bleble still dey sell paraga,Is Mama Bleble still selling herbal gin?
You see Wunmi. Don't talk about her at all! At All O! She's my Padi men,You see Wunmi. Don't talk about her at all! She's my friend.
"Mhen, I go peel out oh!","Man, I will leave immediately!"
"Come on shut up there. Parrot! Everytime chaw, chaw, chaw, chaw, chaw","Come on, shut up there. Parrot! Always talking non-stop."
"O boy, how much you dey sell this gallon of pami?","Dude, how much are you selling this gallon of palm wine for?"
abeg peche for dere.,Please wait there.
I don enter pepper soup,I'm in deep trouble.
i no gabdun dis your parol jare leaf me alone.,"I don't like what you're saying at all, leave me alone."
Make we go chop pepper soup for mama ngozi restaurant means lets go to mama ngozi's restaurant for some pepper soup,Let's go to Mama Ngozi's restaurant for some pepper soup.
"Abi, pepper don rest","Yes, the pepper has calmed down."
Dat dey plenti plenti,That is very plenty.
This woman sef. Na wa for you!,This woman though. You are unbelievable!
"Omo, if yu see oll di orishi rishi wey Seun carri com from jand eh...","Guy, if you see all the different kinds of things Seun brought from abroad..."
"Oya phem, if I hear your voice again","Hurry up, if I hear your voice again."
Man I no like am wen I see girl with pancake yash,I don't like it when I see a girl with a flat butt.
Make we quick go before that parasite go con para this motor.,Let's hurry up and go before that parasite comes and messes up this car.
When I go to Chinyere's wedding tomorrow. I go pepper dem,"When I go to Chinyere's wedding tomorrow, I will outshine them."
dis bus get only space for five passenjas. hurry enter!,This bus has only space for five passengers. Hurry up and get in!
See as EFCC dey parade Bankole like pikin,Look at how EFCC is parading Bankole like a child.
"My guy, as soon as I heard her father coming down the stairs, I pick race!","My friend, as soon as I heard her father coming down the stairs, I ran away!"
Omo na OYO for all man oIt is OYO when we go an buy drinks,It is every man for himself when we go and buy drinks.
the pomp dey rush,The rush is much.
guy piante from here,"Guy, leave from here."
see your prick!,Look at your penis!
Piroro get big head sha!,Piroro has a big head though!
we have a problem,We have a problem.
See as you dey shine with okrika wake up cloth!,Look at how you're shining with second-hand clothes!
"Na lie, I no go gree, Mbanefo your ojoro too much.","It's a lie, I won't agree, Mbanefo your cheating is too much."
See how dat okpeke dey shake her nyash. I go like talk to dat okpeke ooo.,Look at how that beautiful woman is shaking her buttocks. I would like to talk to that beautiful woman.
The guy na pkoki-pkoki master.,The guy is a master at dodging.
Oyinbo pepper. If you eat pepper you go yellow more more.,"White person's pepper. If you eat pepper, you will become even more yellow."
My popsy no gree give me him motor today o.,My dad refused to give me his car today.
i no like poundi means i don't like pounded yam,I don't like pounded yam.
i de go house 2 go see my popsman,I am going home to see my father.
Jide abeg help me press dat shirt,Jide please help me iron that shirt.
Donald Duke na proper olingo man.,Donald Duke is a real playboy.
(Death) Bro i hear say Dragon don leggo oboy na true?,"Bro, I heard that Dragon has passed away, is it true?"
My popsi dey vex for me oh,My dad is angry with me.
That chick don give you Puna?,Has that girl slept with you?
that girl na opio,That girl is young.
"Men how far ohhh, You c dat pomshele babe?","Guys, what's up? Did you see that attractive girl?"
porti!!!na em you dey cook,Party!!! Is it you that is cooking?
See as dat girl open nyash for road dey piss.,Look at how that girl is squatting on the road urinating.
