Input_pid,Output_eng
I was there korokoro when the accident happen.,I was there clearly when the accident happened.
"Abeg, kowatiate (Please, expatiate)","Please, elaborate."
Johnny don kpai today because na him birthday,Johnny has died today because it is his birthday.
No put me for koror abeg means don't put me in a tight position,"""No put me for koror abeg"" means ""don't put me in a tight position"" in English."
Y u dey ask u be koti?,Why are you asking if you are a police officer?
"""I don talk my own Kpakam""","""I have said my own opinion clearly."""
"abeg, fashi dat yans, na kpako!","Please forget that talk, it's not important!"
You go chop the beans with efo “kosi werey egbon”,"You will eat the beans with vegetable soup ""there is no crazy elder sibling"""
1. i don work kpai today,I have worked very hard today.
Our neighbor don kpafuka this morning,Our neighbor's house collapsed this morning.
I don lost my kpali means i've misplaced my passport,"""I don lost my kpali"" means ""I've misplaced my passport"""
Abeg call this number for me kpakrikpa,Please call this number for me quickly.
1. Dem kon dey ves,They are feeling jealous.
Na so Tief kpakay my computer when they come my house,hat's how a thief stole my computer when they came to my house.
See all these kpalas for Jide domot,ook at all these pots in Jide's house.
Jerry na kpalaba you enter for momsy hand with that pot you break o.,"Jerry, you are in trouble for breaking the pot in mom's hand."
I want kpanch dat babe,I want to date that girl.
1. Abeg help me throw way this coke kpangolo abeg.,"Please help me dispose of this expired coke, please."
See the kpanda shoe wey chinedu carry dey pose,ook at the fancy shoe that Chinedu is showing off
"She don spread her kpata ooo, time to make money","She has spread her clothes, it's time to make money."
no explaination  or example for such word this is not a Pidgin Word,There is no explanation or example for such a word. This is not a Pidgin word.
"Abeg leave that guy, na kpas!","Please leave that guy alone, he is troublesome!"
2. See im kpangolo head. Nothing for fit and ever enter.,. See his bald head. Nothing can ever penetrate it.
"Every time I ask Kunle how was he day, he always yarns kpash","very time I ask Kunle how his day was, he always talks nonsense."
E don tey wey those two dey kpansh.,It has been a long time since those two have been having sex.
Dat girl wey dey shake im small nyash there too like to dey kpans,That girl who is shaking her small buttocks there also likes to dance.
food don finish kpata kpata means the food is completely finished,The food has completely finished.
how much is your kpekere?,How much is your plantain chips?
1. I'll get there kpatakpata by 7 pm.,I will definitely get there by 7 pm.
I wan chop kpomo today o!,I want to eat kpomo today!
Skink dat girl na kpians she be,hat girl is very stubborn
Dat guy don kpeme,That guy has died.
The police kpuf the thief,The police caught the thief.
1) Girl: my kpekus dey pain meTRANSLATIONGirl: my vagina hurts,") Boy: Bros, how far na? I dey come your side nowTRANSLATIONBoy: Hey, what's up? I'm on my way to your place now"
"If kpor-kpor make way in here eehn, na blaster-scatter","If a fight breaks out here, it will be chaotic."
Omo this your new car kpor or baby see as you kpor.,"ow, this your new car is so nice, or baby, look at how nice it is."
"2) Girl: you want kpekus or you no want?Boy: I want oTRANSLATIONGirl: do you want my vagina or do you want to sleep with me?Boy: yes, I want your vagina or I want to sleep with you",) Nwunye: ị chọrọ kpekus bụ̣ghị? Nwoke: A chọrọ m oGirl: Do you want sex or not?Boy: I want it
"Oh boy kpon kpi na, the food go reach you. Why your blood dey hot?","h boy, be patient, the food will get to you. Why are you getting angry?"
oboi that chika kpuvie sweet no be small,"oy, that food Chika cooked is really delicious."
"D guy jus dey kpro for d mata.D babe don kpro for me finish.Abeg kpro,u too dey show urself.","he guy is just stubborn about the issue. The girl has finished being stubborn with me. Please stop being stubborn, you also like to show yourself."
1. Dem dey pay me serious kudi for my office,They pay me a lot of money in my office.
DAT boy get krokro for leg,That boy has a sore on his leg.
Abacha kpoof after he chop indian apple.,Abacha fell down after eating Indian apple.
"Madam, how much you dey sell your kulikuli?","Madam, how much are you selling your kulikuli for?"
You be kuturu,"""You are stubborn."""
"na kurukere business this guy dey do, that babe just dey waka kurukere for here anyhow","This guy is into a small-scale business, while that girl is just moving around aimlessly here."
"Bomboi! No play with dat dirty dog, e go give you kro-kro.If you no baff you go catch kro-kro","e careful! Don't play with that dirty dog, it will give you sores. If you don't bathe, you will get sores."
o boy bring kuza make we buy corn,"Boy, bring money so we can buy corn."""
Bros we dance kukere tire for the party sha.,We danced the kukere dance a lot at the party.
You wan make I enter Kwanta?,Do you want me to enter the market?
guy dat tin u dey do na kwapsi wo..,The thing you are doing is not good.
Him don go kuruley o.,He has gone to the village.
"The thing kuja me, man! (The thing frightened me, man!)I kujad ( I jumped or was startled)","he thing frightened me, man! (The thing frightened me, man!)I jumped (I jumped or was startled)"
as you dey submit your own kukuma submit my own o,"As you are submitting yours, just go ahead and submit mine too."""
i kwaved dat girl last night o,I waved at that girl last night.
kai dis boy to dey lai oh,his boy is lying.
She no go lai lai born pickin means she'll never give birth to a baby,"""She no go lai lai born pickin"" means she will never give birth to a baby."
Chinedu no they lamba about.,Chinedu does not gossip.
you no go lai lai to lai lai get money means you'll never ever get rich,"You will never ever get rich."""
I no fit laff for dis serious matter.means I am not going to laugh at this serious matter.,no fit laff for dis serious matter.means I am not going to laugh at this serious matter.
Soja gbab one guy for nite wey dey lamushuan im babe for dis camp.,The soldier caught a guy at night trying to seduce his girlfriend in this camp.
LWKMD means Laugh Wan Kill Me Die. This means I'm dead with laughter,"Nna, biko bia ka anyi jikota ha n'aka."""
I Can't go back there tonight O!! Lailai!!,I cannot go back there tonight at all! Never!
Dis na because dem no need to put am for fridge onto say e dry and e get protein and vitamins wey dey fight against kwashiorkor - di major sickness wey bin dey affect people during di war.,This is because it does not need to be put in the fridge because it is dry and has proteins and vitamins that fight against kwashiorkor - the major illness that used to affect people during the war.
Wen I ask dat girl to dance she lakpa me,"When I asked that girl to dance, she ignored me."
Labom you too they lamba juana.,"You talk too much about Juana."""
You dey kri. Means you are crazy,You are crazy.
I dey go las gidis,I am going to Lagos.
1. I no go gree Boma won lap my girlfriend,I will not agree for Boma to touch my girlfriend.
"2. The guy dey sleep, e lebe dey open","The guy is sleeping, his mouth is open."
"My guy! You dey lash babe?Yhh, but she dey carry pancake n'yash","My friend! Are you flirting with a girl? Yes, but she wears makeup on her buttocks."
U wan make i land you slap? Means do u want me to slap you?. Shey u don land for Yankee? Means have u arrived in America?,wan make i land you slap? - Do you want me to slap you? Translate this sentence to English: Shey u don land for Yankee? - Have you arrived in America?
Are you a learner? = You are inexperienced or cluelessThis one na serious learner = You are seriously cluelessLearner of life = you are absolutely clueless,Are you a learner? = You are inexperienced or clueless This one na serious learner = You are seriously clueless Learner of life = You are absolutely clueless
"omo, this girl na legbere o, how she go buy this shoe foh 5k","This girl is a spendthrift, how did she buy this shoe for 5,000 naira?"""
"Oh boy, I sweep the compound because my aunty say she will give me 500 naira but she give me leg over. I no see any cash.","h boy, I swept the compound because my aunt said she would give me 500 naira but she deceived me. I didn't see any cash."
"No open am before me now, since i bought it I suppose launch am first.","Do not open it before me now, since I bought it I should be the first to launch it."
1. See e lebe,. See e lebe English: Look at it well
1. I don ready na make we leggo na.,"am ready, let's go now."
Nothin dey happen for lasgidi means nothing is happening in lagos,"The sentence ""Nothin dey happen for lasgidi"" translates to ""Nothing is happening in Lagos"" in English."
As police show all man lego,"The police are asking everyone to leave."""
"1. Man i repect this you legedis benz oh, the thing fit carry you from Asaba to Lagos.","really respect your legendary Benz, it can take you from Asaba to Lagos."
i wan borrow ur legedisbenz to go that malam place.,I want to borrow your Mercedes-Benz to go to that Malam's place.
See leke leke for up means look at cattle egret flying in the sky,"""See leke leke for up"" means ""look at cattle egret flying in the sky"" in English."
2. (Death) Bro i hear say Dragon don leggo oboy na true?,"ro, I heard that the Dragon has been released, is it true?"
"1. Me,, I no dey follow boy wey Lepa",I do not date skinny boys.
"Once i reach house,i dey go lem garri & beans.","Once I get home, I will eat garri and beans."
"omo, this your legxus no dey tire?","riend, is your Lexus not tired?"
"Bobs, dis legz no size me, you get another one.","Bobs, these pants don't fit me, do you have another one?"
"see that lekpa for there, na you dey with this orobo","See that slim person over there, are you with this chubby person?"""
"Omo! I lem tight for Rachael party. (verb usage)As alarm wan kill me, I gas waka find lem so.","ow! I enjoyed myself at Rachael's party. (verb usage) As the alarm was about to kill me, I had to go find her."
"1. Guy, I wan go lemb, my belle dey empty.",". Guy, I want to go eat, my stomach is empty."
"Abeg, u get lette for house?Ol boy, i wan go lette for Ddbanj house.","Please, do you have a letter at home? My friend, I want to deliver a letter to D'banj's house."
"lekpa shandy, u no get chop. come make I feed u","Skinny Shandy, you don't have food. Come let me feed you."
"1. How I go was plate for Femi, we no dey for the same levels","ow can I wash plates for Femi, we are not on the same level."
1. Fred no do well oh. All of in papers na let my people go result.,". Fred did not do well at all. All of his papers are ""let my people go"" results."
1. Cj say make I give am my babe. Life!,CJ said I should give him my girlfriend. Life!
"lekpa shandy, u no get chop. come make a feed u","Skinny Shandy, you don't have food. Come let me feed you."
"Oh boy, the first time I enter lift I just dey fear as the thing dey carry me go.","h boy, the first time I entered an elevator, I was just afraid as it was carrying me up."
"Why them just dey take light, as if they no want us to watch tv.","hy do they keep interrupting the electricity supply, as if they don't want us to watch TV."
"1. I buy to crate of mineral, like play like play janet just shack everything","bought a crate of soft drinks, and before you know it, Janet just finished everything."
If you wan do local abeg try front.,"If you want to do something local, please try the front."
See make u na beg am make e lock up,Please ask him to lock it up.
you be lie lie means you are a liar,"The sentence ""you be lie lie"" means ""you are a liar"" in English."
"Ol boy, you want scale that 10m fence? You have liver oh!","y friend, do you want to climb that 10-meter fence? You are brave!"
Na me chop liva pass,I eat liver more than anyone else.
Am tod dey proffesor dat he no gat sense!! Lolz,I am told that the professor does not have sense!! Lolz
"Di way some people take hold bar ehn, you go reason say all man suppose hold like that but no be so. Life no balance at all, at all.","The way some people hold onto a bar, you might think everyone should hold on like that, but that's not the case. Life is not balanced at all."
you put me on a long thing,ou have put me in a difficult situation.
You get long leg means you are well connected,"If you have long legs, it means you are well connected."
1. Everybody wey dey go that club na lockito me I no go follow,"veryone who goes to that club is a troublemaker, I will not go with them."
1. Biola na longa throat,Biola is greedy.
"allow the girl, she be loki thats why she just dey wear leggins","Allow the girl, she is slim, that's why she only wears leggings."
na your long throat go kill you one day.,our greed will be your downfall one day.
Some schools no get locker for classroom.  Lock your locker before dem tiff your book.,ome schools do not have lockers in the classroom. Lock your locker before someone steals your book.
your malle bin kpeme?lol,s your friend dead? Lol
Na luba i dey find,I am looking for a spoon.
omo dis show we dey watch go kill me oo..lwkmd!,This show we are watching will make me laugh so much..lwkmd!
Dat phone na Machin,That phone is a machine.
1. My fada just buy new machine,My father just bought a new machine.
na who chop my rice? ma pin.,Who ate my rice? I don't know.
"ma le, how far na?TRANSLATIONHi, mum","The correct translation of ""ma le, how far na?"" to English is ""Hi, how are you?"""
I dey come ma do finish first,I am coming to finish my work first.
I love him reading to me on bed,"I love it when he reads to me in bed."""
my guy na so you maga since you lose your job,"y friend, that's how your helper has been since you lost your job."
1. Commot for road if not I go mach you,et out of the way or else I will hit you.
"Abeg, which kind maclean you dey use?","Please, what kind of detergent are you using?"
Remain small and my maga go pay,Just a little more time and my client will pay.
Mad oo see this girl in her mind she don rich pass me.,"This girl is crazy, she thinks she is richer than me."""
"if u no care,i go maari you for dis wahala you wan put me in","f you don't care, I will leave you in this trouble you want to involve me in."
Dem flog am e dey maara. - They flogged him and he was running and dancing because of the whipping.,"""They flogged him and he was running and dancing because of the whipping."""
"When i see mopo, i just maintain","When I see the police, I just behave myself."
o boy i don find maga wey i for mugu,"Oh boy, I have found a victim that I can deceive."""
1. e be like say you suppose add one more maggi,It seems like you should add one more seasoning cube.
Make I see you for hia again! You go chop pepper! (Let me see you here again. You will taste pepper.),Let me see you here again. You will taste pepper.
Maga no need pay to buy correct car,"A fool does not need to pay to buy the right car."""
maggi no taste 4 dat food at all,Maggi does not add any flavor to that food at all.
1. Why chu too dey make mouth?,Why do you talk too much?
comot der make i hear word,ove away from there so I can hear what is being said.
1. Dat mechanic just dey do mago mago,hat mechanic is just being deceitful.
"Ur behavior dey mal,",Your behavior is bad.
I don see dat malan yesterday near yah domot,I saw that man yesterday near your house.
Dat ride(car) make sense,That car ride was impressive.
"i dey make eye for u, u no code.","I am giving you a signal, but you are not understanding."
"Oya, come make we go",et's go.
i just dey my own kampe why u won use ur makossa spoil my blues?,"am just minding my business, why do you want to disrupt my peace with your antics?"
1. Dat hausa man get plenti malu,. That Hausa man has many cows.
I love malo boys,"The correct translation of the sentence ""I love malo boys"" to English is ""I love bad boys."""
how your malle?,How is your mother?
1. Kai yinka your food sweet like that mamput food wey i like,"ow, your food is as delicious as the mamput food that I like."
Make u na see mama daniel and e pikin dey don come with dey wahala for my don mot.,ou all should see Mama Daniel and her child coming with their trouble to my house.
I want go eat for mama put means i am going to eat at a local restaurant,"""I want to go eat at a local restaurant"""
U na my manchi,"""You are my friend"""
i mammar the pikin till e remember to count to ten,breastfed the child until he remembered how to count to ten.
Your child be Mami Wata O!!!,Your child is a Mami Wata!!!
The guy don mara.meaning the guy don mad.,The guy is crazy.
"I give Kola beer, so tey e start to dey manya","I gave Kola beer, and he started to act drunk."
Baba God no go allow man pinki to suffer'ooo.,God will not allow a man's little finger to suffer.
Shey na mammy water dey worry you?,Is it a mermaid that is troubling you?
"Mallam, how far?","Hello, how are you?"
"omo men,manchester they catch me seriously","My friend, Manchester United is seriously impressing me."""
how your marle?,ow is your family?
See that girl Mary Amaka skirt.,ook at that girl Mary Amaka's skirt.
"My guy arrange yasef, why you jus dey maskaform anyhow?","y friend, compose yourself, why are you just pretending anyhow?"
"If I maja you ehn!The guy maja me, no be small.","f I beat you, oh! The guy beat me severely, it was not a small thing."
"2. Trisha, I just catch one maye. The boy na heavy payee.","Trisha, I just caught a big fish. The boy is a big spender."
The guy drink so te him enter Matrix,he guy drank so much that he entered the Matrix.
1. I chop plenti mede mede for that party oh,. I ate a lot of delicious food at that party.
which day we become mate?,When did we become friends?
1. This maye don tear eye. E no wan pay again.,his friend has become stingy. He doesn't want to pay anymore.
"1. Oya, make me go! maza maza!","ome on, let's go quickly! Hurry up!"
I wan go match banga,I want to go watch a football match.
2. I go use medi for am o.,I will use medicine for it.
1.omo diz your new MEMMETH(girl) make sense o...,his your new girlfriend is really nice.
I don meow comot here,have meowed and left this place.
This kenny dey vex me...O boy Tony mellow,"This Kenny is making me angry...Oh boy, Tony calm down."
1. Padi give me the medi make man drink joor.,". My friend, give me the medicine so that I can drink it."
My megaurd always dey sleep when person dey for gate,My security guard always sleeps when someone is at the gate.
He be mental.,e is mentally unstable.
George Bush has been mescagizing for the past 8 years.,George Bush has been governing for the past 8 years.
1. You won mek cake?,. Did you make a cake?
"i no get water for house, abeg if you see meruwa call am for me","I don't have water at home, please if you see the water vendor, call him for me."
wen i see the guy before i reach where he dey the guy mia,"hen I saw the guy before I reached where he was, the guy disappeared."
Had ten,"The sentence ""Had ten"" can be translated to English as ""Had ten""."
"o'boy, why you dey misyarn like this?","Hey boy, why are you talking nonsense like this?"""
Come and see (moi) mother,Please come and see my mother.
na who mess here?,Who made a mess here?
once Ngozi talk everybody go just know say she be mgbeke,"Once Ngozi speaks, everyone will immediately know that she is a village girl."
"That Memunate girl dey chop too much, the other day she downed like half a crate of minerals in  one day chai!","hat Memunate girl eats too much, the other day she drank like half a crate of soft drinks in one day, oh my!"
this moi moi sweet oh!,This moi moi is delicious!
1. Jibe abeg go buy me mineral,Please go and buy me a soft drink.
(Moi) lovely friend,My lovely friend
Tomorrow na socials dem I go wear my best mofty,"Tomorrow, I will wear my best outfit for the social event."
I went to the brew last 9t nd i was so moed,went to the bar last night and I was so drunk.
I dey move about Ikeja in molue. No dey laugh at homeboys.,I am moving around Ikeja in a molue. Don't laugh at the guys.
Him barb moro moro when him aunty die.,He shaved his hair completely when his aunt died.
Mara mma no you tired this shabby MOLUE,You look tired in this shabby MOLUE.
I like to play football with monkey post,enjoy playing football with the goalpost.
1. You get fine motor bike oh,"ou have a nice motorcycle, right?"
1. I love my momsi,"""I love my momsi"" translates to ""I love my mother"" in English."
dat ugly moze,"dat ugly moze"" English: That ugly mosquito"
"Abeg mozz,u too dey dull.","Please hurry up, you are too slow."
"ok o, make una dey there make mopo come catch you, them go deal with una","kay, stay there so the police can come and arrest you, they will deal with you."
Na moto dat guy spend e life savings go buy,The guy spent his life savings to buy a car.
"guy dem don move my phone means mahn my phone has been stolen, guy make we de move means mahn lets b going","guy dem don move my phone"" means ""man, my phone has been stolen."" ""guy make we de move"" means ""man, let's start going."""
B: Mtchew! Leave tha Ashawo!,: Mtchew! Leave that prostitute!
A: No be your ex be that,: Isn't that your ex?
A: Young lady can't you greet?,": Young lady, can't you greet?"
he is a tiv boy from benue state,e is a Tiv boy from Benue State.
1. That Benz na my fada moto,. That Benz is my father's car.
"Mtcheew... poor man, I even think say you carry money come.","tcheew... poor man, I even thought you brought money along."
Maga don pay me ooo!,The fool has paid me!
(A: Is that not your ex?,: Is that not your ex?
(Mtchew! Are the one feeding me?),Mtchew! Are you the one feeding me?)
B: Mtchew! Na u dey give me chop?,: Mtchew! Are you the one feeding me?
"2. Mehn, the mullah don drop","Wow, the money has been received."""
"See dis mugu, the guy think say he fit run faster than my motocycle","ook at this fool, he thinks he can run faster than my motorcycle."
"1.Since I travel, I don miss my mumsy cooking taya.","Ever since I traveled, I have really missed my mother's cooking."
1. Pinto just de act like mumu,into is just pretending to be foolish.
1. I see joseph mullah for bathroom. E be like small pickin leg.,I saw Joseph limping in the bathroom. He was walking like a child.
2. I no comot o. Mumsy just dey dull me since this curfew matter start,did not go out. My mother has been restricting me since the curfew started.
"Samuel be mugu, na the reason he still dey SS2, when im mates don knack uni.","Samuel is gullible, that's why he is still in SS2 while his peers have already gained admission into the university."
which one be your mumsi,ho is your mother?
this boy na mungu,This boy is stubborn.
3. See how this coatie hold mullah like say he wan beat person.,ee how this young man is holding the money as if he wants to fight someone.
u say i go chop. u say whtin dey for chop.,ou said I will eat. You said what is there to eat.
"- Na you wey wan come start wahala for my domot yesterday abi? (So, you're the one who wanted to start trouble in my area yesterday right?)","You are the one who wanted to start trouble in my neighborhood yesterday, right?"
Jennifer is my new Musu!,Jennifer is my new girlfriend!
U see that guy way get money see as woman they rush him.,"ou see that guy who has money, see how women are rushing him."
wetin that mumuni dey do dere,What is that fool doing there?
-Dis one na gobe! (This is trouble!),This is trouble!
the car fine sha but i no trust this your new money miss road bobo; him go mutallab una for road oh!,"he car is nice but I don't trust your new money, my friend; he might deceive us on the road!"
if i lose my job na die i dey,"If I lose my job, it's a matter of life and death."
Another blackout? Na wa!,Another blackout? Wow!
"This sickness wey leave me, na God do am","he sickness that left me, God did it."
1. Chidi: Tunde were you able to get that girl's phone number. Tunde: Na beanz?,"hidi: Tunde, were you able to get that girl's phone number? Tunde: Is it beans?"
"1. kai no touch me, because I taste your coke na fight.","Hey, don't touch me, because if I taste your coke, it will lead to a fight."""
Na today boys dey sayo dey vomit for road?,Is it today that boys are getting drunk and vomiting on the road?
Na the ball be that? Na it,"Is that the ball? Yes, it is."
ABI NA BE SO? NA SO!,"Is that how it is? Yes, that's how it is!"
B: Mtchew! Let me with that whore),: Mtchew! Let me deal with that prostitute.
"Na wa o,see as boko haram just dey kill people anyhow","Wow, look at how Boko Haram is just killing people indiscriminately."
1. Simi! Na wetin.,imi! What is it?
na you sabi,You know best.
I always fly first class. Na wash.,always fly first class. It's a lie.
all this yarns na yam. how come you still dey here?,ll these stories are lies. Why are you still here?
1. The way feyi dey chop rice e remain small nada go remain,"he way Feyi is eating rice, there will be almost nothing left."
Oga john na you biko means mr john you are the man,"""Oga John na you biko"" translates to ""Mr. John, it's you please."""
I no sure say your boyfriend go marry you,am not sure if your boyfriend will marry you.
1. I dey go naija this summer,I am going to Nigeria this summer.
abeg do it naw.,Please do it now.
"Shey you don chop my rice finish, no nwa now.","Have you finished eating my rice, my friend?"
"John nack peter for ground when dem dey fight means john slammed peter to the ground during their fight.My guy, i don finally nack mary ooo means my friend!, i've finally made love to mary","ohn nack peter for ground when dem dey fight means John slammed Peter to the ground during their fight. My guy, i don finally nack mary ooo means my friend!, I've finally made love to Mary."
"1. See dis boy ride, na you o",". See dis boy ride, na you o English: Look at this boy riding, it's you."
I been nak that ikebe tire,I have been hitting that buttocks a lot.
"Nawa for you oh, see as you just finish the suya by yourself","ow, look at you finishing the suya all by yourself."
Naso! i fuck am,"That's it! I had sex with her."""
Apc- next level,Next level APC
"""Nawa oo! Chioma! Why you thief the money now?!""","Wow! Chioma! Why did you steal the money now?!"""
"1. If Obasanjo bash my car natin spoil, e get money e go buy me new one.","If Obasanjo damages my car and it gets spoiled, he has money to buy me a new one."
Nepotizm is when powerfull pipo do feva dea relatives en frens job oppotunities,Nepotism is when powerful people give job opportunities to their relatives and friends.
"Tunde: this is how we do thingsAmaka: mmm, ndi yoruba","Tunde: this is how we do things Amaka: mmm, the Yoruba people"
That Bros na NFA o!,That guy is a troublemaker!
Kemi off the tv nepa don take light,Kemi turned off the TV because the electricity company (NEPA) has interrupted the power supply.
"Keep im away from ere, e is a nig!","Keep him away from here, he is a thief!"
"Oi, you a niga","Oi, you are a fool."""
You be newscaster,ou are a newscaster.
Ngbeke feeling funky,Ngbeke is feeling happy/joyful.
1. I dey go visit my best friend next tomorrow for Lagos,I am going to visit my best friend the day after tomorrow in Lagos.
Si my ninja bike,"Si my ninja bike"" English: ""See my ninja bike"""
"You saw your friend washing cloth. you ask him Nigeria Question,  Are you washing cloth? He reply to you Nigeria Answer ""NO am dancing""","ou saw your friend washing clothes. You asked him a Nigerian question, ""Are you washing clothes?"" He replied to you with a Nigerian answer, ""No, I am dancing."""
You saw me washing cloth! You ask me 'are you washing clot'?. I wil now give you nagetive answer,ou saw me washing clothes! You asked me 'are you washing clothes?'. I will now give you a negative answer.
To climb mount Everest no be small thing o,To climb Mount Everest is not an easy task.
Mr. A- bros u just forget ur guy?,"Mr. A, did you just forget about your friend?"
no bi true?,Is it not true?
"u buy isiah food, me nko means u bought food for isiah how bout me","You bought food for Isaiah, what about me?"""
"Nna, my wife don kill me, she born triplets","Father, my wife has killed me, she gave birth to triplets."
Life for naija no be small thing.,Life in Nigeria is not easy.
"If you wan live for Lagos, no dull yoursef","If you want to live in Lagos, do not be lazy."
"omo i dey go, no fight o, we go see leta.","I am leaving, don't fight, we will see later."""
"Chairman mi, no lele carry go jo!","My chairman, don't worry, just go ahead!"
Mr. B- guy 'no be so',"Mr. B- said, ""It's not like that."""
You need my car? No shaking I go organise you.,"Do you need my car? No problem, I will arrange it for you."
I nor go forget naija,I will not forget Nigeria.
"I thank God for me, Noni!","I thank God for myself, Noni!"
"James, wey my money? no long tin.","James, where is my money? It's not a long thing."
Guy i norlute vicky tewe(virginal) yesterday!,I did not see Vicky yesterday!
I'm nonilizin,I am relaxing.
"Na Taiwan I buy, my money no reach for original.",I bought it in Taiwan because I couldn't afford the original.
"I shagged your girl, no vex","I had sex with your girlfriend, don't be upset."
Don't dull yourself na me sabi am pass. Means don't receive yourself I am best at this.,"Don't underestimate yourself, I am better at it."""
"james: okay, no wahala na","James: Okay, no problem."
I want go nosh 4 backyard,I want to go eat in the backyard.
Man all those new Nollywood movies hot oh,"ow, all those new Nollywood movies are really good."
john: i'll be coming back tomorrow,ohn: I'll be coming back tomorrow.
"Nothing do me, I fit run 5km","I am fine, I can run 5km."
"G1: Ol' boy, how fa?G2: Omo, nothin de pa","G1: Hey buddy, how are you? G2: Man, nothing much is happening."
1. Bisola like to dey make nyanga,Bisola likes to cause trouble.
Sarah always like to tief my nylon,Sarah always likes to steal my plastic bag.
"""See dis babe wey dey come. I know say u don nyash am...""","Look at this girl that is coming. I know you have been admiring her..."""
Tell willydee say nothing do am,Tell Willydee that nothing happened to him.
"Dis girl any time you want something you go come dey shake nyash, abegi!See your nyash","his girl, whenever you want something, you come and start shaking your buttocks, please! Look at your buttocks."
"The food dey nyanfu-nyanfu, enuff for everyone","The food is plentiful, enough for everyone."
"He jst finish NYSC, now is suffering continues",He just completed his National Youth Service Corps (NYSC) and is now facing continuous hardship.
"1. Jesus, sometime kehinde dey behave like e no get number six",". Jesus, sometime Kehinde behaves as if he doesn't have manners."
I don dey laugh tire. OBJ daughter lose this election.,I have been laughing so much. OBJ's daughter lost this election.
Dat guy dy do like odoyo,That guy is behaving like a fool.
put nta make we hear news means tune to NTA lets listen to the news,"Put on NTA so we can hear the news, which means tune in to NTA let's listen to the news."""
"Guy, remember that our deal wey we do bifor bifor? Obago o!","Guy, remember the deal we did before? It was a good one!"
"If you see obioma, help me call am. My trouser don tear for yansh.","If you see Obioma, please help me call him. My trousers have torn at the back."
"No mind dat Oduimitete,under 13 no dey pass his corner.","Don't mind Oduimitete, children under 13 don't go past his corner."
Hmmm ...dat boy na obo le wu o! E no de take eye woman pant!,mm ... that boy is a thief! He steals women's underwear!
"This place na obodo matress, you no need to bring anything come.","his place is a furnished apartment, you don't need to bring anything along."
Jide hide that knockout one officer dey come,Jide hid the firecracker because a police officer is coming.
You ode don't you know anything sef?,Do you even know anything at all?
Davido: I'm an original O.B.O,"avido: I am an original O.B.O. (Note: O.B.O stands for Omo Baba Olowo, which means ""Child of a Wealthy Person"" in Yoruba)"
mama why you give me soup with no obstacle.,"Mama, why did you give me soup without any meat?"""
Na mama fati go do ofofo say zainab done carry belle,Mama Fati will spread rumors that Zainab is pregnant.
/oga ade/give me my money,"Boss Ade, give me my money."
To much ogogoro dey make person kolo.,Too much ogogoro can make someone go crazy.
"Madam, you no get Ogbene?, dem don tiff my Ogbene ooo.","Madam, don't you have Ogbene? They have stolen my Ogbene."
ogbeni come here,"""Ogbeni come here"" translates to ""Friend, come here"" in English."
I day go NSK today.,I am going to NSK today.
Oh boy I don enter yawa means I've gotten into trouble man,"Oh boy I don enter yawa"" means ""I've gotten into trouble man"""
My oga talk say make i take am to airport,My boss said I should take him to the airport.
That girl na Ogbange.,hat girl is stubborn.
E be oibo man.,It is a white man.
Oboi  you just dey smoke oja as you like.,"ude, you just smoke weed as you like."
"Oh men, she cook that egusi with ogbongeh fish.","h men, she cooked the egusi soup with delicious fish."
"Madam, give me one ojongo and hundred naira kanda!.","Madam, give me one bottle of beer and one hundred naira credit!"
"if you dont sleep now, ojuju will catch you","f you don't sleep now, you will be caught by a ghost."
Ojugo! u still dey blind with this your four eyes? Abi you want make i add two more for you? Idiot!!,ool! Are you still blind with your four eyes? Or do you want me to add two more for you? Idiot!!
1. I no fit climb dat okada,I cannot ride that motorcycle.
"Na lie, I no go gree, Mbanefo your ojoro too much.","t's a lie, I won't agree, Mbanefo, you cheat too much."
See as you dey shine with okrika wake up cloth!,See how you are shining with second-hand clothes!
See how dat okpeke dey shake her nyash. I go like talk to dat okpeke ooo.,ee how that girl is shaking her buttocks. I would like to talk to that girl.
"That guy dey lie eh, im na olairewaju","That guy is lying, his name is Olairewaju."
Your okoman don enter house?TRANSLATIONIs your dad back at home?,"na, how far na?TRANSLATIONBrother, how are you?"
You be real okpe!,ou are a real troublemaker!
John tell me say him neighbour na bad okpo,John told me that his neighbor is a bad person.
"Founded in 2020, Ofofonobs is a World Entertainment Giant with daily fresh: news, entertainment, sports, mostly-music blog that focuses on naija music news, album, and live show reviews, pictures, gossip, tips, song and album streams, videos, industry and tech news, special events and much more. Non-music stuff finds its way on to our pages as well including comedy, TV, movies and sports, and every post comes with an open exchange of ideas via the public commenting system and social media.","Founded in 2020, Ofofonobs is a World Entertainment Giant that provides daily fresh news, entertainment, sports, and mostly music-related content. The platform focuses on Nigerian music news, album and live show reviews, pictures, gossip, tips, song and album streams, videos, industry and tech news, special events, and much more. Additionally, non-music content such as comedy, TV, movies, and sports also feature on the platform. Every post encourages an open exchange of ideas"
"U see dat okoroman, wey get red cap for head?",Do you see that young man wearing a red cap on his head?
See ole oh!,ook at the thief!
Donald Duke na proper olingo man.,Donald Duke is a very smart man.
"see this old mama youngie, im body don wrinkle","ook at this old lady trying to act young, her body is all wrinkled."
"olokpa dey come, make we comot for here","The police are coming, let's leave this place."
